Question_ID,Knowledge_Point,Difficulty_Level,Marks
1a(i),压力计算,2.5,2.0
1a(ii),压力计算,2.0,1.0
1a(iii),压力计算,2.0,2.0
1b,力的分析,2.0,2.0
1c,力的分析,1.0,1.0
2a,测量工具选择,1.0,1.0
2b,质量计算,2.0,2.0
2c,理想气体状态方程,3.0,3.0
3a(i),压力与体积关系,1.0,1.0
3a(ii),压力计算,3.0,3.0
1a,加速度计算,2.0,2.0
1b,力的计算,2.0,2.0
1c1,能量形式,2.0,2.0
1c2,能量变化,1.0,1.0
1c3,能量守恒,1.0,1.0
2a,质量计算,2.0,2.0
2b,功的计算,2.0,2.0
2c,功率计算,2.0,2.0
2d,压力计算,2.0,2.0
3a,重力计算,1.0,1.0
3b,动能计算,3.0,3.0
3c,能量转换,3.0,3.0
4a,力的分析,5.0,5.0
1a(i),速度时间图解析,2.0,1.0
1a(ii),速度时间图解析,2.0,1.0
1a(iii),速度时间图解析,3.0,2.0
1a(iv),速度时间图解析,3.0,2.0
1b(i),力与加速度关系,4.0,3.0
1b(ii),终端速度原理,3.0,2.0
2a,速度时间图解析,3.0,3.0
2b,力的图示,2.0,2.0
2c,恒定速度原理,3.0,2.0
2d(i),速度时间图解析,2.0,2.0
2d(ii),速度时间图解析,2.0,2.0
3a,单摆周期测量,2.0,1.0
1a(i),胡克定律图绘制,2.0,1.0
1a(ii),弹性势能描述,1.0,1.0
1b,动能与弹性势能转换,3.0,4.0
2a,弹性势能形式,1.0,1.0
2b(i),动能计算,2.0,2.0
2b(ii),运动学问题,3.0,3.0
2b(iii),实际运动与理论差异,2.0,1.0
2c(i),图象点名称,1.0,1.0
2c(ii),胡克定律应用,1.0,1.0
3a(i),胡克定律图绘制,2.0,1.0
3a(ii),图象点名称,1.0,1.0
3b,功的计算,2.0,2.0
3c(i),质量计算,3.0,3.0
3c(ii),浮力计算,2.0,2.0
1a,密度计算,2.5,1.0
1b,实验操作,3.0,5.0
1c,实验误差,2.0,1.0
2a,密度定义,1.0,1.0
2b(i),体积计算,2.0,2.0
2b(ii),平均厚度计算,2.5,2.0
2c(i),测量工具选择,2.0,1.0
2c(ii),实验操作,3.0,2.0
1a(i),重量计算,2.0,1.0
1a(ii),合力计算,2.0,2.0
1a(iii),加速度计算,3.0,2.0
1b,加速度变化原因,2.0,1.0
2a,质心位置,1.0,1.0
2b(i),重量计算,2.0,2.0
2b(ii),质量计算,1.0,1.0
2c(i),平衡原理,2.0,2.0
2c(ii),重量比较,1.0,1.0
3a(i),压力计算,2.0,2.0
3a(ii),向上总力计算,3.0,3.0
3b,质量计算,2.0,2.0
1a,力的合成,2.5,3.0
1b(i),力矩计算,2.5,2.0
1b(ii),平衡条件,3.5,2.0
2a,平衡条件,2.0,2.0
2b(i),力矩计算,2.0,1.0
2b(ii),力矩表达式,2.0,1.0
2b(iii),受力分析,3.0,2.0
3a,质心位置,1.5,1.0
3b(i),重量计算,2.0,2.0
3b(ii),质量计算,1.5,1.0
3c(i),平衡条件,2.5,1.0
1a,动量计算,2.5,2.0
1b,冲量计算,2.0,1.0
1c,减速度计算,2.5,2.0
1d,力的计算,3.0,2.0
2a,动量变化计算,2.5,2.0
2b,冲量定义,1.0,1.0
2c,平均力计算,2.5,2.0
3a,动量计算,2.0,2.0
3b,动量守恒定律,3.5,3.0
4,液压系统力的传递,3.89,5.0
1a(i),距离计算,2.0,4.0
1a(ii),加速度计算,2.0,2.0
1b,合力计算,3.0,2.0
1c,力的方程,1.0,1.0
2a(i),加速度判断,1.0,1.0
2a(ii),加速度判断,1.0,1.0
2a(iii),加速度判断,1.0,1.0
2b,力的分析,4.0,4.0
2c,合力方向,1.0,1.0
3a,数据作图,2.0,2.0
3b(i),临界力值,1.0,1.0
3b(ii),力对物体的影响,1.0,1.0
3c,斜率计算,1.0,1.0
3d(i),力、质量、加速度关系,1.0,1.0
3d(ii),质量计算,2.0,2.0
